,0,Labels
0,"Las momias están en muy buen estado de conservación, más de 30 para ver. La energía del lugar es pesada, de baja vibración. Todo",0
1, mi grupo quedó negativamente impresionado. Algunas expresiones de las caras son horribles. Esas imágenes como de ZOMBIES quedar,0
2,"on grabadas en lo profundo de las mentes de quienes las vimos, otros de mis acompañantes se tuvieron que salir del museo. Salimo",0
3,s con ganas de vomitar y espantados. Absolutamente no lo recomiendo para menores de edad y personas nerviosas que les genere mie,0
4,"do los muertos, los espantos y los entierros... Pasamos mal el resto del día. Hay cosas más lindas para hacer en Guanajuato y qu",0
5,"e te quedarán como un lindo recuerdo, como recorrer el centro histórico... Por favor no vayas allá si no quieres dormir con pesa",0
6,dillas por el resto de tus días...,0
7,Tienen carteles con comida cortida de 40 y no te vendían nada el mínimo era 90 y debías pagar agua y sin buen sabor,0
8,"Creo que es muy insalubre, hay basura por todos lados y aunque la comida es rica y barata, creo que se pueden visitar otros rest",0
9,aurantes.,0
10,"Para mí gusto no vale la pena... tristemente es un gran atractivo pero descuidado, complicado para llegar y caótico... las momia",0
11,s empolvadas y mal tenidas según mi impresión. No recomiendo gastar el tiempo allí habiendo cosas más llamativas. A menos que la,0
12, administración del lugar mejoren las condiciones.,0
13,Es un lugar poco interesante y que se conoce en menos de un minuto. La cantidad de gente que lo visita es tanta que lo hacen poc,0
14,o agradable. Lo peor son los vendedores locales que incomodan aconsando a los turistas para contarles la leyenda y sacarles la f,0
15,"oto. En resumen, el lugar menos romántico que he visto ¿quién va a querer romancear con una bola de mirones y que te quieran pre",0
16,sionar para comprar una foto?,0
17,"Cierto, es un mercado, pero no por eso hay que dejarlo caer. Es una pieza de valor histórico por el diseño del mismo y el arquit",0
18,"ecto que lo imaginó. Está muy maltratado, espero que pronto entre a un programa de conservación que le devuelva el valor que rea",0
19,lmente tiene.,0
20,"Creí que era un museo dedicado a momias de otra época, pero son cadáveres casi frescos momificados, honestamente es una visita m",0
21,uy morbosa. No me gustó nada.,0
22,"Largas filas para entrar, tickets caros, cobran por las cámaras fotográficas no profesionales y realmente no vale la pena ni el ",0
23,tiempo ni el precio de acceso.,0
24,"Es tardado entrar al museo, una vez dentro no es nada interesante, no te explican nada y sólo ves cuerpos deshidratados, no momi",0
25,"ficados, además es un museo que no pertenece al estado de Guanajuato, así que sí van a Guanajuato gasten para Guanajuato no para",0
26," terceros, Guanajuato no son sólo momias.",0
27,"Es un lugar que la verdad, esperas algo mágico. Porque digo esto. Por lo pintoresco y bello que es Guanajuato. Si te sobra tiemp",0
28,o ve. Que no sea prioridad. Un minuto y vámonos.,0
29,"No es un museo histórico, los cuerpos que se exhiben no están contextualizados en su época o en su relevancia social. Su única c",0
30,ualidad es que se momificaron por las condiciones propias del terreno donde fueron sepultados. Para quien le guste el morbo. (lo,0
31," visité en mi infancia, hace más de 40 años, la aclaración por la fecha de abajo)",0
32,Esta interesante el hecho de que vas a ver las momias pero si esta muy tetrico el asunto. En lo personal no soy muy fan de ver c,0
33,adaveres,0
34,Que pena que en nuestro país los días festivos en los establecimientos públicos estén cerrados. ¿Como es posible que sabiendo qu,0
35,"e los turistas son los días que tenemos para visitar museos y otros monumentos, estén cerrados? Viva México",0
36,"La fila es muy larga esperamos 20 min para hacer el recorrido en 10min, puedes ir para que veas y no te cuenten, la exhibición d",0
37,"e los cuerpos esta bien al principio, luego al entrar a las salas siguientes como que quieren dar un aire de tenebroso y ponen f",0
38,"iguras extrañas realemente en comparación a otros museos de la misma indole, este carece de seriedad y quieren darle un aire de ",0
